Sample; LockDetected; TextDetected; TextScore; EncryptionDetected; Comment; TimedOut; Classified files
/home/nicola/workspace/Heldroid/experiments/datasets/ransomware/R2/bc8ee7a5316c87f6ea0633ab3c4b4985ec6abadc59c95564384d2f68ef6c40d5.apk; true; true; 1,000000; false; "Threat: 1,000000, Porn: 1,000000, Law: 0,732520, Copyright: 0,183309, Moneypak: 0,894427"; false; {copyright=[], law=[], moneypak=[], threat=[], porn=[]}
/home/nicola/workspace/Heldroid/experiments/datasets/ransomware/R2/ef44851e275e7fe9ee2e2a1215ea932f4f09e9a0c3548874605a48fb58f100d0.apk; true; true; 1,000000; false; "Threat: 1,000000, Porn: 0,925820, Law: 1,000000, Copyright: 0,640513, Moneypak: 0,816497"; false; {copyright=[], law=[], moneypak=[], threat=[], porn=[]}
/home/nicola/workspace/Heldroid/experiments/datasets/ransomware/R2/ea89b069d61e0da63dd516b666a56e47835d6cb60101bb36b01012c6d5fe5261.apk; true; true; 1,000000; false; "Threat: 1,000000, Porn: 1,000000, Law: 0,732520, Copyright: 0,183309, Moneypak: 0,894427"; false; {copyright=[], law=[], moneypak=[], threat=[], porn=[]}
/home/nicola/workspace/Heldroid/experiments/datasets/ransomware/R2/0175791e568fb35275ed7a35572f0366e6bd658b115f9d45874e73ea616403a2.apk; true; true; 1,000000; false; "Threat: 1,000000, Porn: 1,000000, Law: 0,732520, Copyright: 0,183309, Moneypak: 0,894427"; false; {copyright=[], law=[], moneypak=[], threat=[], porn=[]}
/home/nicola/workspace/Heldroid/experiments/datasets/ransomware/R2/d60c55586163697e039f9935d102bea47ea68fbcc97a9f7ca63d70480c06fb70.apk; true; true; 1,000000; false; "Threat: 1,000000, Porn: 1,000000, Law: 0,732520, Copyright: 0,183309, Moneypak: 0,894427"; false; {copyright=[], law=[], moneypak=[], threat=[], porn=[]}
/home/nicola/workspace/Heldroid/experiments/datasets/ransomware/R2/596a1b0edd03cc7bf3faa173a844ab9579fa97b23a70565b367097444e941680.apk; true; true; 1,000000; false; "Threat: 1,000000, Porn: 0,925820, Law: 1,000000, Copyright: 0,640513, Moneypak: 0,816497"; false; {copyright=[], law=[], moneypak=[], threat=[], porn=[]}
/home/nicola/workspace/Heldroid/experiments/datasets/ransomware/R2/9584cfd66e8130a3e081d0df866e3a7f06446838697a71a703ddb3ed062a607c.apk; true; true; 1,000000; false; "Threat: 1,000000, Porn: 1,000000, Law: 0,732520, Copyright: 0,183309, Moneypak: 0,894427"; false; {copyright=[], law=[], moneypak=[], threat=[], porn=[]}
/home/nicola/workspace/Heldroid/experiments/datasets/ransomware/R2/c8fb8c8b2883f20c5f2a2bd70bbed8068fe431d2dece93daa6ae70e38fc68ba9.apk; true; true; 1,000000; false; "Threat: 1,000000, Porn: 1,000000, Law: 0,732520, Copyright: 0,183309, Moneypak: 0,894427"; false; {copyright=[], law=[], moneypak=[], threat=[], porn=[]}
/home/nicola/workspace/Heldroid/experiments/datasets/ransomware/R2/6c35150106be81ef0a62c4a2f828ce995ab1b71ad3b738976216ecb13a541a71.apk; true; true; 1,000000; false; "Threat: 1,000000, Porn: 1,000000, Law: 0,732520, Copyright: 0,183309, Moneypak: 0,894427"; false; {copyright=[], law=[], moneypak=[], threat=[], porn=[]}
/home/nicola/workspace/Heldroid/experiments/datasets/ransomware/R2/d0b58a79c0d149c2bcbc62aebce91098b589a84149023cb533c67e3c1c50c7f5.apk; true; true; 1,000000; false; "Threat: 1,000000, Porn: 1,000000, Law: 0,732520, Copyright: 0,183309, Moneypak: 0,894427"; false; {copyright=[], law=[], moneypak=[], threat=[], porn=[]}
